Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2020-01-03 15:55,EOD Close,8810.25,4,70774,-292,-0.41,116,0.16,-336,-0.47,-292,-0.03
1,Entry long,2020-01-03 11:00,ORB Long A (4c) S:87 H:30 T1:PDH T2:Round,8846.75,4,70774,-292,-0.41,116,0.16,-336,-0.47,-292,-0.03
2,Exit long,2020-01-06 09:40,L-TP1,8823.5,4,70268,320,0.46,320,0.46,-16,-0.02,28,0.00
2,Entry long,2020-01-06 08:45,ORB Long B+ (4c) S:84 H:25 T1:CTF S&R T2:Weekly High,8783.5,4,70268,320,0.46,320,0.46,-16,-0.02,28,0.00
3,Exit long,2020-01-23 15:00,L-TP1,9242.5,3,55215,240,0.43,240,0.43,-160.5,-0.29,268,0.03
3,Entry long,2020-01-23 09:10,ORB Long B (3c) S:77 H:30 T1:PDH T2:Round,9202.5,3,55215,240,0.43,240,0.43,-160.5,-0.29,268,0.03
4,Exit short,2020-01-31 09:25,S-TP1,9074,2,36456,160,0.44,160,0.44,-75,-0.21,428,0.04
4,Entry short,2020-01-31 08:50,ORB Short C (2c) S:61 H:0 T1:FVG T2:CTF S&R+Round,9114,2,36456,160,0.44,160,0.44,-75,-0.21,428,0.04
5,Exit long,2020-02-03 09:00,L-TP1,9146.75,4,72854,320,0.44,320,0.44,-22,-0.03,748,0.07
5,Entry long,2020-02-03 08:45,ORB Long B+ (4c) S:84 H:25 T1:CTF S&R (2x) T2:Weekly High,9106.75,4,72854,320,0.44,320,0.44,-22,-0.03,748,0.07
6,Exit long,2020-02-06 14:55,L-TP1,9454.25,4,75314,320,0.42,320,0.42,-192,-0.25,1068,0.11
6,Entry long,2020-02-06 08:55,ORB Long B+ (4c) S:84 H:30 T1:PDH T2:Round,9414.25,4,75314,320,0.42,320,0.42,-192,-0.25,1068,0.11
7,Exit long,2020-02-10 10:45,L-TP1,9485,4,75500,380,0.50,380,0.50,-44,-0.06,1448,0.14
7,Entry long,2020-02-10 08:50,ORB Long A+ (4c) S:98 H:30 T1:Round T2:Round,9437.5,4,75500,380,0.50,380,0.50,-44,-0.06,1448,0.14
8,Exit short,2020-02-25 09:20,S-TP1,9068.25,4,72950,404,0.55,404,0.55,-232,-0.32,1852,0.19
8,Entry short,2020-02-25 08:45,ORB Short A+ (4c) S:105 H:30 T1:CTF S&R T2:HTF S&R (48x),9118.75,4,72950,404,0.55,404,0.55,-232,-0.32,1852,0.19
9,Exit short,2020-02-26 12:40,S-TP1,8825,4,71010,410,0.58,410,0.58,-64,-0.09,2262,0.23
9,Entry short,2020-02-26 12:30,ORB Short B+ (4c) S:80 H:30 T1:PDL T2:HTF S&R (33x),8876.25,4,71010,410,0.58,410,0.58,-64,-0.09,2262,0.23
10,Exit short,2020-02-26 14:15,S-TP1,8921.5,4,70972,-400,-0.56,324,0.46,-400,-0.56,1862,0.19
10,Entry short,2020-02-26 12:50,ORB Short B+ (4c) S:80 H:30 T1:PDL T2:HTF S&R (33x),8871.5,4,70972,-400,-0.56,324,0.46,-400,-0.56,1862,0.19
11,Exit short,2020-02-27 09:30,S-TP1,8565,3,51775.5,385.5,0.74,385.5,0.74,-30,-0.06,2247.5,0.22
11,Entry short,2020-02-27 09:15,ORB Short B (3c) S:77 H:30 T1:Round T2:Round,8629.25,3,51775.5,385.5,0.74,385.5,0.74,-30,-0.06,2247.5,0.22
12,Exit short,2020-03-02 09:35,S-TP1,8521,3,50787,-339,-0.67,127.5,0.25,-339,-0.67,1908.5,0.19
12,Entry short,2020-03-02 09:05,ORB Short A+ (3c) S:105 H:30 T1:Round T2:CTF S&R,8464.5,3,50787,-339,-0.67,127.5,0.25,-339,-0.67,1908.5,0.19
13,Exit long,2020-03-02 11:55,L-TP1,8735,2,34545,395,1.14,395,1.14,-75,-0.22,2303.5,0.23
13,Entry long,2020-03-02 10:10,ORB Long C (2c) S:64 H:0 T1:Round T2:CTF S&R,8636.25,2,34545,395,1.14,395,1.14,-75,-0.22,2303.5,0.23
14,Exit short,2020-03-03 09:00,S-TP1,8828.75,3,52596,-376.5,-0.72,127.5,0.24,-376.5,-0.72,1927,0.19
14,Entry short,2020-03-03 08:50,ORB Short A (3c) S:89 H:25 T1:Round T2:CTF S&R,8766,3,52596,-376.5,-0.72,127.5,0.24,-376.5,-0.72,1927,0.19
15,Exit short,2020-03-03 10:25,S-TP1,8724.25,2,35168,271,0.77,271,0.77,-180,-0.51,2198,0.22
15,Entry short,2020-03-03 10:10,ORB Short B (2c) S:75 H:25 T1:CTF S&R T2:HTF S&R (33x),8792,2,35168,271,0.77,271,0.77,-180,-0.51,2198,0.22
16,Exit short,2020-03-03 12:10,S-TP1,8715,2,35108,248,0.71,248,0.71,-161,-0.46,2446,0.24
